one_week_perf,one_month_perf,three_month_perf,six_month_perf,one_year_perf,bull_bear_signal,technical_rating,ad_trend,avg_volume_6_days,avg_volume_9_days,avg_volume_12_days,avg_volume_15_days,avg_volume_30_days,q1,q2,q3,q4,capital_fund_to_rwa,npl_to_total_loan,return_on_equity,total_loan_loss_provision_to_npl,symbol,market_cap,stock_bonus,eps_ttm,roa_ttm,roe_ttm,pr_ratio
0.0,-1.09,22.74,28.24,47.64,-,SL,Distribution,33987.0,34995.0,39437.0,55639.0,69863.0,2.36%,-8.82%,0.46%,19.89%,,,,,KKHC (Khanikhola Hydropower Co. Ltd.),1731991481.7,,-7.3,-0.05,-0.15,-50.96
-2.69,2.86,4.32,11.56,42.96,-,BY,Distribution,70459.0,69076.0,72950.0,90576.0,69632.0,,,,,,,,,KPCL (Kalika Power Company),5053801500.0,"[{'id': 1305, 'symbol': 'KPCL', 'sector': 'HYDROPOWER', 'bonus': 10, 'cash': 0.5263, 'total': 10.526299999999999, 'fiscal_year': '2079/2080'}, {'id': 1306, 'symbol': 'KPCL', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 0.7895, 'total': 15.7895, 'fiscal_year': '2078/2079'}, {'id': 1307, 'symbol': 'KPCL', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 0.7895, 'total': 15.7895, 'fiscal_year': '2077/2078'}]",16.23,0.08,0.1,35.68
-0.05,-0.19,-10.91,-32.82,9.05,-,SL,Accumulation,179089.0,134928.0,108826.0,98822.0,74389.0,3.49%,-1.82%,-29.08%,9.94%,,,,,LEC (Liberty Energy Company Limited),4610250000.0,,-8.98,-0.03,-0.15,-22.83
-1.11,10.52,20.0,46.98,103.03,-,BY,Accumulation,35652.0,40596.0,45410.0,45600.0,49899.0,25.31%,-13.20%,23.39%,42.57%,,,,,MAKAR (Makar Jitumaya Suri Hydropower Limited),6110400000.0,,19.98,0.02,0.07,40.25
-1.35,-5.86,-5.2,-12.14,37.39,-,-,Distribution,10474.0,11400.0,11481.0,10834.0,12063.0,15.55%,19.12%,97.32%,97.32%,,,,,MANDU (Mandu Hydropower Limited),12927278760.0,"[{'id': 1367, 'symbol': 'MANDU', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 10, 'total': 10, 'fiscal_year': '2079/2080'}]",23.77,0.07,0.13,39.88
-1.87,-2.84,-12.42,-9.76,9.62,-,SL,Distribution,61360.0,68846.0,67911.0,93951.0,93002.0,-3.04%,-7.68%,-10.80%,1.97%,,,,,MBJC (Madhya Bhotekoshi Jalavidyut Company Limited),20520000000.0,,-0.64,-0.0,-0.01,-535.73
-3.18,-7.79,4.24,29.17,87.94,-,-,Distribution,13747.0,13486.0,13561.0,14618.0,18810.0,9.79%,-1.64%,45.29%,34.71%,,,,,MCHL (Menchhiyam Hydropower Limited),3467107287.0,,-38.76,-0.14,-0.54,-16.49
-1.37,17.45,43.88,75.07,120.48,-,BY,Accumulation,72684.0,78073.0,82543.0,81376.0,77279.0,8.99%,-8.01%,34.67%,23.77%,,,,,MEHL (Manakamana Engineering Hydropower Limited),5168000000.0,,0.07,-0.03,-0.06,8888.09
-0.85,-4.07,10.09,20.97,57.21,-,-,Accumulation,72139.0,72807.0,82296.0,89374.0,110846.0,,,,,,,,,MEL (Modi Energy Limited),10121000000.0,,-2.32,-0.03,-0.08,-150.65
0.17,0.84,-17.82,-11.63,0.84,-,SL,Accumulation,70553.0,63654.0,66809.0,71991.0,84104.0,-1.16%,1.36%,-36.11%,-29.15%,,,,,MEN (Mountain Energy Nepal Limited),13579386600.0,"[{'id': 1397, 'symbol': 'MEN', 'sector': 'HYDROPOWER', 'bonus': 15, 'cash': 0.7895, 'total': 15.7895, 'fiscal_year': '2079/2080'}, {'id': 1398, 'symbol': 'MEN', 'sector': 'HYDROPOWER', 'bonus': 0, 'cash': 10.53, 'total': 10.53, 'fiscal_year': '2078/2079'}]",39.35,0.06,0.1,15.25
